,Manufacturer,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Weight,Price
466,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,2TB HDD,AMD Radeon,Windows,2.02,75900
467,HP,Gaming,17.3,1920x1080,Intel Core i7,12,1TB HDD,Nvidia GeForce,Windows,3.78,169900
468,Lenovo,Ultrabook,14.0,2560x1440,Intel Core i7,12,256GB SSD,Intel HD,Windows,1.4,185800
469,HP,2 in 1 Convertible,13.3,3840x2160,Intel Core i7,8,512GB SSD,Intel UHD,Windows,1.29,199900
470,HP,Notebook,15.6,1920x1080,Intel Core i5,8,500GB HDD,AMD FirePro,Windows,1.9,115400
471,Google,Ultrabook,12.3,2400x1600,Intel Core i5,8,128GB SSD,Intel HD,Chrome OS,1.1,127500
472,Dell,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.42,184185
473,Asus,Notebook,15.6,3840x2160,Intel Core i7,12,128GB SSD +  1TB HDD,Intel HD,Windows,2.06,129900
474,Dell,Notebook,14.0,1366x768,Intel Core i3,8,128GB SSD,Intel HD,Windows,1.79,74000
475,Dell,Workstation,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows,1.78,240800
476,Lenovo,Notebook,14.0,1920x1080,Intel Core i5,8,1GB SSD,Intel HD,Windows,1.7,136400
477,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon,Windows,2.2,67500
478,Toshiba,Notebook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.05,167200
479,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,512GB SSD,Nvidia GeForce,Windows,2.16,126200
480,Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.18,58660
481,HP,Notebook,13.3,1920x1080,Intel Core i5,4,128GB SSD,Intel UHD,Windows,1.49,72600
482,Chuwi,Notebook,15.6,1920x1080,Intel Atom x5,4,64GB Flash Storage,Intel HD,Windows,1.89,24890
483,Lenovo,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows,2.3,56500
484,Lenovo,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.75,104900
485,Dell,Workstation,15.6,1920x1080,Intel Core i7,16,512GB SSD,Nvidia Quadro,Windows,2.17,233800
486,Dell,Notebook,15.6,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows,2.06,189900
487,Lenovo,Ultrabook,12.5,1920x1080,Intel Core i7,16,512GB SSD,Intel HD,Windows,1.36,179800
488,Asus,Ultrabook,12.5,1920x1080,Intel Core i7,16,512GB SSD,Intel HD,Windows,0.91,195000
489,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.3,101199
490,Toshiba,Ultrabook,13.3,1920x1080,Intel Core i7,32,512GB SSD,Intel HD,Windows,1.05,279900
491,Asus,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,1.99,135000
492,Acer,Notebook,15.6,1366x768,AMD A10 Series,8,1TB HDD,AMD Radeon,Windows,2.2,57900
493,Asus,Gaming,17.3,1920x1080,Intel Core i7,24,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.33,126900
494,Lenovo,Ultrabook,12.5,1366x768,Intel Core i5,8,1GB SSD,Intel HD,Windows,1.3,109900
495,Lenovo,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows,2.17,89890
496,HP,Notebook,14.0,1920x1080,Intel Core i7,8,1TB SSD,Intel HD,Windows,1.48,174900
497,Lenovo,Notebook,13.3,1920x1080,Intel Core i3,8,256GB SSD,Intel HD,Windows,1.4,94900
498,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.3,91100
499,Asus,Netbook,11.6,1366x768,Intel Celeron Dual,4,64GB Flash Storage,Intel HD,Windows,1.2,34000
500,HP,Notebook,15.6,1366x768,Intel Core i5,8,256GB SSD,AMD Radeon,Windows,1.91,61899
501,Lenovo,2 in 1 Convertible,13.9,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.4,159900
502,Lenovo,Notebook,14.0,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Windows,2.1,29900
503,Lenovo,Netbook,11.6,1366x768,Intel Celeron Dual,4,16GB SSD,Intel HD,Chrome OS,1.25,26500
504,Lenovo,Notebook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.44,94900
505,Asus,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD +  1TB HDD,Intel HD,Windows,2.0,122400
506,Acer,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Nvidia GeForce,Windows,2.2,61300
507,HP,Ultrabook,13.3,1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.34,132300
508,Lenovo,Gaming,15.6,1920x1080,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce,No OS,2.4,114900
509,Dell,Ultrabook,13.3,1920x1080,Intel Core i5,8,128GB SSD,Intel HD,Windows,1.29,89900
510,Acer,Notebook,15.6,1920x1080,Intel Core i7,4,500GB HDD,Nvidia GeForce,Windows,2.2,63900
511,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,Intel HD,Windows,2.18,83600
512,Dell,Notebook,15.6,1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Windows,2.2,121924
513,Xiaomi,Notebook,15.6,1920x1080,Intel Core i7,16,256GB SSD,Nvidia GeForce,No OS,1.95,139995
514,Asus,Netbook,11.6,1366x768,Intel Celeron Dual,2,32GB Flash Storage,Intel HD,Windows,1.1,24500
515,HP,Notebook,15.6,1366x768,Intel Core i5,4,1TB HDD,Intel UHD,Windows,2.04,52147
516,Asus,Gaming,15.6,1920x1080,Intel Core i7,24,512GB SSD,Nvidia GeForce,Windows,2.24,296800
517,HP,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.04,88900
518,Asus,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.0,150400
519,Lenovo,Gaming,15.6,1920x1080,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.2,139900
520,HP,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.32,139900
521,Dell,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.64,127973
522,HP,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.63,68900
523,Dell,Notebook,17.3,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Linux,2.8,88900
524,Lenovo,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.02,134000
525,Lenovo,Notebook,15.6,1920x1080,Intel Core i7,4,1TB HDD,Nvidia GeForce,Windows,2.2,79900
526,Lenovo,Notebook,15.6,1366x768,Intel Core i3,8,2TB HDD,Nvidia GeForce,No OS,2.2,45900
527,Dell,Notebook,15.6,1920x1080,Intel Core i5,4,500GB HDD,AMD Radeon,Windows,2.3,58500
528,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.9,137700
529,Dell,Gaming,17.3,1920x1080,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.42,301277
530,Toshiba,Notebook,15.6,1920x1080,Intel Core i5,8,500GB HDD,Intel HD,Windows,2.0,86000
531,Asus,Notebook,15.6,3840x2160,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.0,129900
532,Mediacom,Notebook,13.3,1920x1080,Intel Celeron Quad,4,32GB SSD,Intel HD,Windows,1.2,36900
533,Asus,Gaming,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.3,164900
534,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,1.93,136900
535,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon,Windows,2.2,79741
536,HP,Notebook,15.6,1920x1080,Intel Pentium Quad,4,256GB SSD,Intel HD,Windows,1.86,39899
537,HP,Gaming,17.3,1920x1080,Intel Core i7,12,1TB HDD,Nvidia GeForce,Windows,2.62,179900
538,Lenovo,Notebook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,1.87,85900
539,Dell,Ultrabook,13.3,3200x1800,Intel Core i7,8,256GB SSD,Intel UHD,Windows,1.2,139900
540,Dell,Notebook,14.0,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.6,73587
541,HP,Ultrabook,13.3,3200x1800,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.34,114500
542,Acer,Gaming,15.6,1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce,Linux,2.4,79800
543,Asus,Notebook,15.6,1366x768,AMD E Series,4,500GB HDD,AMD Radeon,Windows,2.0,34900
544,HP,Notebook,15.6,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows,2.1,70550
545,Lenovo,Notebook,14.0,1920x1080,Intel Core i5,4,500GB HDD,Intel HD,Windows,1.87,78500
546,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Intel HD,No OS,2.15,46235
547,HP,Notebook,15.6,1920x1080,Intel Core i3,4,500GB HDD,Intel HD,Windows,1.86,39700
548,Lenovo,Notebook,15.6,1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.99,172900
549,Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows,2.2,49900
550,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.9,111699
551,Dell,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.42,269900
552,HP,Notebook,17.3,1600x900,Intel Core i3,8,1TB HDD,Intel HD,Windows,2.65,54415
553,HP,Notebook,17.3,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,2.63,128000
554,Asus,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Linux,2.0,22400
555,Mediacom,Notebook,13.3,1920x1080,Intel Atom x5,4,32GB Flash Storage,Intel HD,Windows,1.35,25500
556,Lenovo,Notebook,17.3,1600x900,Intel Core i7,6,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.8,94900
557,HP,Notebook,15.6,1920x1080,AMD A10 Series,6,128GB SSD,AMD Radeon,Windows,1.91,56890
558,Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,AMD Radeon,Windows,2.18,61790
559,Acer,2 in 1 Convertible,11.6,1920x1080,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.25,34900
560,Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows,2.05,63000
561,HP,Ultrabook,13.3,3200x1800,Intel Core M,16,512GB SSD,Intel HD,Windows,1.16,196500
562,Lenovo,Notebook,17.3,1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows,3.4,299900
563,Asus,Notebook,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.5,83900
564,Dell,Ultrabook,13.3,3840x2160,Intel Core i5,8,128GB SSD,Intel UHD,Windows,1.21,159900
565,Dell,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,1.93,95900
566,Fujitsu,Notebook,15.6,1366x768,Intel Core i5,8,1TB HDD,Intel HD,Windows,2.2,73900
567,Lenovo,Notebook,15.6,1920x1080,Intel Pentium Quad,4,500GB HDD,Intel HD,Windows,2.2,34400
568,Lenovo,Notebook,14.0,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,2.02,99000
569,HP,Workstation,17.3,1600x900,Intel Core i5,8,500GB HDD,Nvidia Quadro,Windows,3.14,186099
570,HP,Notebook,14.0,1366x768,Intel Pentium Quad,8,2TB HDD,Intel HD,Windows,1.94,38900
571,HP,Notebook,15.6,1920x1080,AMD A9 Series,6,256GB SSD,AMD Radeon,Windows,1.95,64900
572,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.3,83000
573,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,4,500GB HDD,Intel HD,Windows,2.05,68500
574,Mediacom,Notebook,14.0,1920x1080,Intel Atom x5,4,32GB SSD,Intel HD,Windows,1.4,24900
575,Toshiba,Ultrabook,14.0,1920x1080,Intel Core i7,16,512GB SSD,Intel HD,Windows,1.24,186500
576,Lenovo,Gaming,17.3,1920x1080,Intel Core i7,32,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.6,266300
577,MSI,Gaming,17.3,1920x1080,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.14,272900
578,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Linux,2.2,74901
579,Mediacom,Notebook,14.0,1920x1080,Intel Celeron Quad,4,32GB SSD,Intel HD,Windows,1.45,38900
580,Dell,Notebook,15.6,1366x768,Intel Core i5,8,500GB HDD,Intel HD,Windows,1.9,100852
581,HP,Notebook,13.3,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.49,71900
582,Dell,Notebook,15.6,1920x1080,Intel Core i7,16,256GB SSD,Nvidia GeForce,Windows,1.93,153739
583,Dell,Netbook,11.6,1366x768,Intel Celeron Dual,4,16GB Flash Storage,Intel HD,Chrome OS,1.26,29500
584,MSI,Gaming,17.3,1920x1080,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.5,234900
585,HP,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.78,149800
586,Lenovo,Ultrabook,14.0,1920x1080,Intel Core i7,12,256GB SSD,Intel HD,Windows,1.4,167300
587,Lenovo,Notebook,15.6,1366x768,Intel Core i7,12,1TB HDD,Intel HD,Windows,2.2,60900
588,Asus,Gaming,17.3,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.73,177000
589,Asus,2 in 1 Convertible,15.6,1366x768,Intel Core i5,8,1TB HDD,Intel HD,Windows,2.2,73900
590,Lenovo,Notebook,15.6,1920x1080,AMD A12 Series,12,512GB SSD,AMD Radeon,Windows,2.2,94900
591,Dell,2 in 1 Convertible,11.6,1366x768,Intel Core M,4,128GB SSD,Intel HD,Windows,1.39,60300
592,Samsung,Notebook,15.6,1920x1080,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.5,169900
593,Lenovo,Notebook,17.3,1920x1080,Intel Core i3,4,500GB HDD,Intel HD,No OS,2.8,52900
594,Lenovo,Notebook,15.6,1366x768,Intel Core i3,8,1TB HDD,Intel HD,Windows,2.29,45900
595,Lenovo,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.37,202500
596,Lenovo,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.7,147400
597,Dell,2 in 1 Convertible,12.5,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.34,167000
598,Dell,Workstation,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows,2.06,176300
599,HP,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.84,121900
600,HP,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.1,66848
601,Acer,Notebook,14.0,1920x1080,Intel Celeron Quad,4,32GB Flash Storage,Intel HD,Windows,1.6,32900
602,MSI,Gaming,17.3,1920x1080,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.14,219900
603,Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,AMD Radeon,Linux,2.18,46500
604,MSI,Gaming,15.6,3840x2160,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows,1.8,229900
605,Toshiba,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,2.2,139900
606,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,6,1TB HDD,Intel HD,Windows,2.4,56400
607,Lenovo,2 in 1 Convertible,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,2.0,129900
608,Acer,Notebook,14.0,1366x768,Intel Pentium Quad,4,128GB Flash Storage,Intel HD,Windows,1.6,34900
609,Dell,Gaming,15.6,1920x1080,Intel Core i7,16,1TB HDD,Nvidia GeForce,Windows,2.59,87901
610,Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.18,44390
611,Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.25,35900
612,Dell,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Linux,1.93,86900
613,Asus,Gaming,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.0,116800
614,Dell,Notebook,15.6,1920x1080,Intel Core i5,4,128GB SSD,AMD Radeon,Linux,2.18,56900
615,HP,Ultrabook,15.6,1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.84,138900
616,MSI,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.94,226786
617,Acer,2 in 1 Convertible,11.6,1366x768,Intel Celeron Quad,4,32GB Flash Storage,Intel HD,Chrome OS,1.25,37900
618,HP,Notebook,14.0,1366x768,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.31,112400
619,Lenovo,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.65,146500
620,Dell,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,AMD Radeon,Windows,2.2,77600
621,Fujitsu,Notebook,15.6,1366x768,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.2,79900
622,HP,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,1.88,93200
623,Lenovo,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,2.2,89900
624,Mediacom,Notebook,14.0,1920x1080,Intel Atom x5,2,32GB Flash Storage,Intel HD,Windows,1.4,23900
625,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,4,128GB SSD,Intel HD,No OS,2.2,46800
626,Asus,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,6,1TB HDD,Intel HD,Windows,1.5,63901
627,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,2.0,182000
628,Asus,Ultrabook,14.0,1920x1080,Intel Core i7,16,512GB SSD,Intel HD,Windows,1.1,190000
629,Dell,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.62,147900
630,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,4,256GB SSD,Intel UHD,Windows,1.8,82900
631,Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows,2.2,57900
632,Asus,Notebook,15.6,1366x768,Intel Celeron Dual,8,1TB HDD,Intel HD,Windows,2.0,39900
633,Asus,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows,1.99,90662
634,Dell,Ultrabook,13.3,3200x1800,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.23,186900
635,Lenovo,Notebook,14.0,1366x768,Intel Celeron Dual,2,32GB Flash Storage,Intel HD,Windows,1.42,24900
636,Lenovo,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.37,175742
637,Dell,Notebook,15.6,3840x2160,Intel Core i7,16,1TB SSD,Nvidia GeForce,Windows,2.06,239900
638,Lenovo,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.5,110900
639,HP,Notebook,17.0,1600x900,AMD A9 Series,8,1TB HDD,AMD Radeon,Windows,2.6,52090
640,Lenovo,Ultrabook,14.0,1920x1080,Intel Core i7,16,512GB SSD,Intel HD,Windows,1.14,245000
641,Asus,Gaming,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,No OS,2.5,116900
642,Acer,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.4,45000
643,Lenovo,Notebook,14.0,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.43,27400
644,Acer,Ultrabook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel Graphics,Windows,1.8,91900
645,Razer,Gaming,14.0,1920x1080,Intel Core i7,16,256GB SSD,Nvidia GeForce,Windows,1.95,259900
646,Toshiba,Notebook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.2,121300
647,Lenovo,Ultrabook,12.5,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.36,158400
648,Asus,Gaming,17.3,1920x1080,Intel Core i7,32,512GB SSD,Nvidia GeForce,Windows,3.8,279900
649,Acer,Gaming,15.6,1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce,Linux,2.4,70900
650,Dell,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.2,144990
651,MSI,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.2,119180
652,HP,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,No OS,1.86,36490
653,Toshiba,Notebook,15.6,1920x1080,Intel Core i5,8,500GB HDD,Intel HD,Windows,2.0,106400
654,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows,2.2,91900
655,Dell,Notebook,15.6,1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Windows,2.2,113500
656,Lenovo,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.31,119600
657,Dell,Gaming,17.3,3840x2160,Intel Core i7,32,512GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.42,314737
658,Dell,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.56,122900
659,Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Windows,2.2,41900
660,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,4,500GB HDD,Intel HD,Windows,2.2,53500
661,HP,Notebook,15.6,1920x1080,Intel Core i3,6,1TB HDD,AMD Radeon,Windows,2.04,53900
662,MSI,Gaming,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.7,148677
663,Toshiba,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows,2.1,49800
664,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,Intel HD,Windows,2.06,95500
665,HP,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,AMD Radeon,Windows,2.1,74500
666,Toshiba,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.0,125800
667,Acer,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Linux,2.1,41200
668,Microsoft,Ultrabook,13.5,2256x1504,Intel Core i7,8,256GB SSD,Intel Iris,Windows,1.252,186785
669,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows,1.9,81795
670,Lenovo,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.3,103400
671,Lenovo,Notebook,15.6,1366x768,AMD E Series,4,128GB SSD,AMD Radeon,Windows,2.2,34900
672,HP,2 in 1 Convertible,14.0,1920x1080,Intel Core i3,4,128GB SSD,Nvidia GeForce,Windows,1.63,69900
673,MSI,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.4,129400
674,Asus,Ultrabook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.1,113500
675,HP,2 in 1 Convertible,11.6,1366x768,Intel Celeron Dual,8,64GB Flash Storage,Intel HD,Chrome OS,1.4,49500
676,LG,Ultrabook,15.6,1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.09,229900
677,Acer,Gaming,15.6,1920x1080,Intel Core i5,16,256GB SSD,Nvidia GeForce,Windows,2.5,129900
678,MSI,Gaming,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.2,99790
679,Asus,Notebook,15.6,1366x768,Intel Celeron Dual,4,128GB SSD,Intel HD,Windows,1.86,41900
680,Dell,Gaming,15.6,1920x1080,Intel Core i5,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.21,205100
681,HP,Notebook,17.3,1920x1080,Intel Core i3,4,256GB SSD,AMD Radeon,Windows,2.5,69900
682,Lenovo,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,8,512GB SSD,Intel UHD,Windows,1.19,149900
683,Dell,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.49,281375
684,HP,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,AMD Radeon,Windows,1.86,61261
685,Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,AMD Radeon,Windows,2.2,54567
686,HP,Notebook,17.3,1920x1080,AMD A10 Series,6,2TB HDD,AMD Radeon,Windows,2.65,56900
687,Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Windows,2.1,31800
688,Acer,Notebook,14.0,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Chrome OS,1.45,37500
689,Lenovo,Notebook,14.0,1920x1080,Intel Core i5,4,256GB SSD,Intel HD,Windows,1.7,69900
690,HP,Workstation,17.3,1920x1080,Intel Core i7,8,500GB HDD,Nvidia Quadro,Windows,3.14,190799
691,Lenovo,2 in 1 Convertible,14.0,2560x1440,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.42,259000
692,Toshiba,Notebook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.5,97300
693,Acer,Netbook,11.6,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.4,26900
694,Lenovo,2 in 1 Convertible,14.0,1920x1080,Intel Core i7,16,512GB SSD,Intel HD,Windows,1.38,174900
695,Asus,2 in 1 Convertible,12.5,1920x1080,Intel Core M,4,64GB Flash Storage,Intel HD,Chrome OS,1.2,66900
696,Toshiba,Ultrabook,13.3,1920x1080,Intel Core i7,16,512GB SSD,Intel HD,Windows,1.36,187700
697,HP,Notebook,15.6,1920x1080,Intel Core i7,4,500GB HDD,AMD Radeon,Windows,2.1,68900
698,Dell,Gaming,15.6,1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows,2.56,81900
699,Lenovo,Notebook,15.6,1920x1080,AMD A9 Series,4,256GB SSD,AMD Radeon,Windows,2.2,39900
700,Lenovo,Notebook,15.6,1366x768,AMD A12 Series,8,1TB HDD,AMD Radeon,Windows,2.2,42900
